Year,State,CO2(Metric Tons)
1998,South Dakota,1371116.0
1998,Tennessee,9366594.307692308
1998,Texas,23181636.372093022
1998,Utah,5786497.818181818
1998,Vermont,18738.666666666668
1998,Virginia,4269363.6
1998,Washington,1700450.0
1998,West Virginia,13471345.6
1998,Wisconsin,5145553.052631579
1998,Wyoming,9829005.263157895
1999,Alabama,10233518.4
1999,Alaska,797020.3636363636
1999,Arizona,7804240.571428572
1999,Arkansas,5617352.571428572
1999,California,4823724.833333333
1999,Colorado,5378456.592592592
1999,Connecticut,1618996.0
1999,Delaware,1918744.3076923077
1999,District of Columbia,255115.0
1999,Florida,11402216.46511628
1999,Georgia,9580367.393939395
1999,Hawaii,1458408.6956521738
1999,Idaho,221272.70588235295
1999,Illinois,8752200.8
1999,Indiana,14283521.575757576
1999,Iowa,5300862.4
1999,Kansas,10451974.153846154
1999,Kentucky,22878099.733333334
1999,Louisiana,7079313.125
1999,Maine,767931.7777777778
1999,Maryland,3934910.0
1999,Massachusetts,3054220.342857143
1999,Michigan,8575843.263157895
1999,Minnesota,4116715.882352941
1999,Mississippi,4983079.555555556
1999,Missouri,11929824.0
1999,Montana,3422252.727272727
1999,Nebraska,3996984.4210526315
1999,Nevada,5690492.266666667
1999,New Hampshire,725573.8571428572
1999,New Jersey,2392821.8181818184
1999,New Mexico,6297612.6
1999,New York,5707805.818181818
1999,North Carolina,7812774.666666667
1999,North Dakota,8516964.0
1999,Ohio,16653840.827586208
1999,Oklahoma,6865818.461538462
1999,Oregon,1176576.1666666667
1999,Pennsylvania,10606216.0
1999,Rhode Island,705920.8888888889
1999,South Carolina,5285294.074074074
1999,South Dakota,1540800.8
1999,Tennessee,8297869.517241379
1999,Texas,24284281.80952381
1999,Utah,5437830.833333333
1999,Vermont,13427.384615384615
1999,Virginia,4656237.7894736845
1999,Washington,1479264.121212121
1999,West Virginia,13351017.384615384
1999,Wisconsin,5085147.487179487
1999,Wyoming,9460198.52631579
2000,Alabama,10868666.266666668
2000,Alaska,828698.9090909091
2000,Arizona,8340287.2727272725
2000,Arkansas,5284311.2727272725
2000,California,5534417.632653061
2000,Colorado,6167147.076923077
2000,Connecticut,2108660.1666666665
2000,Delaware,1430503.0588235294
2000,District of Columbia,114064.66666666667
2000,Florida,11107703.555555556
2000,Georgia,10010485.696969697
2000,Hawaii,1578014.5454545454
2000,Idaho,194739.29411764705
2000,Illinois,9717249.23076923
2000,Indiana,14179129.028571429
2000,Iowa,5584501.2
2000,Kansas,11430988.307692308
2000,Kentucky,19463562.888888888
2000,Louisiana,7041413.212121212
2000,Maine,800445.696969697
2000,Maryland,3711525.6
2000,Massachusetts,2757355.4444444445
2000,Michigan,9012207.885714285
2000,Minnesota,4326899.085714285
2000,Mississippi,4291668.761904762
2000,Missouri,12774667.42857143
2000,Montana,3253759.8181818184
2000,Nebraska,4170306.5263157897
2000,Nevada,5825813.647058823
2000,New Hampshire,700818.8571428572
2000,New Jersey,2666129.212121212
2000,New Mexico,5654214.0869565215
2000,New York,5627665.7272727275
2000,North Carolina,8017976.6486486485
2000,North Dakota,7673829.411764706
2000,Ohio,14011077.888888888
2000,Oklahoma,7504570.88
2000,Oregon,1376493.5
2000,Pennsylvania,11295406.909090908
2000,Rhode Island,639830.0
2000,South Carolina,4973951.612903226
2000,South Dakota,1590730.0
2000,Tennessee,8967625.655172413
2000,Texas,25220586.285714287
2000,Utah,5320600.96
2000,Vermont,37710.933333333334
2000,Virginia,4980574.358974359
2000,Washington,1850063.6470588236
2000,West Virginia,13129385.384615384
